unidad_id	nivel	etapa	objetivo	artefacto_principal	ruta_origen	entrada_clave	salida_clave	dependencias	estado_operativo	evidencia_forense	razones_de_riesgo	accion_recomendada
U01	macro	consulta GEO	Seleccionar GSE candidatos de SNP arrays en cancer	Rmd de consulta	F:/Documentos/UNMSM/TESIS/Documentación_GSE_sniffer.Rmd	GEOmetadb.sqlite	GSE_candidates_v2.csv	R + DBI + RSQLite	operativo con ajuste menor	Rmd contiene query SQL y export CSV	Conexion en Rmd usa "Geometadb.sqlite" (capitalizacion)	Mantener query y registrar hash/version de sqlite por corrida
U02	macro	candidatos	Consolidar lista de entrada para cribado SOFT	CSV de candidatos	F:/Documentos/UNMSM/TESIS/input/GSE_candidates.csv	GSE_candidates_v2.csv	input/GSE_candidates.csv	R / export CSV	operativo	775 filas detectadas	Puede desalinearse con version v2 si se sobreescribe manualmente	Congelar snapshot por fecha de ejecucion
U03	macro	cribado SOFT	Descargar y clasificar SOFT por presencia de tablas utiles	Controlador shell	F:/Documentos/UNMSM/TESIS/scripts/scout_master.sh	input/GSE_candidates.csv	results/hits_confirmados y results/quarantine_maybe	bash + curl + awk	operativo con alias	`cribado_reporte.csv` poblado (775 eventos)	Script referencia `inspector_gadget.awk` inexistente por nombre literal	Crear alias canonico o variable parametrizable
U04	micro	deteccion patron	Detectar si el SOFT contiene genotipado/senal	AWK detector	F:/Documentos/UNMSM/TESIS/scripts/inspector_gadgetv2(borrarv2cuandoejecutes).awk	Flujo zcat de SOFT	Etiqueta HARD_GENOTYPE/MAYBE/SIGNAL/NO	awk	operativo con nombre no canonico	Script presente y logica de patrones definida	Nombre inestable (incluye texto "borrar")	Renombrar en capa canonica, no destruir original
U05	macro	quarantine input	Servir como cola de parseo de casos recuperables	Repositorio de SOFT	F:/Documentos/UNMSM/TESIS/results/quarantine_maybe	SOFT.gz	SOFT.gz listos para diagnose	filesystem	operativo	38 archivos `.soft.gz`	Incluye archivos >2 GB en otros GSE	No reprocesar total sin particion de lotes
U06	macro	parsing controlador	Orquestar parseo de SOFT a tablas TSV por GSM	Shell runner	F:/Documentos/UNMSM/TESIS/scripts/diagnose_v2.sh	results/quarantine_maybe/*.soft.gz	results/parsed_tables/GSE*/GSM*.tsv	bash + awk + zcat	operativo	Sintaxis shell valida y log V2 consistente	Usa `ls` y `sed`; errores en un GSE pueden dejar huecos	Agregar modo dry-run y resumen final automatico
U07	micro	parsing motor	Separar tablas `!sample_table_begin` a TSV por muestra	AWK parser	F:/Documentos/UNMSM/TESIS/scripts/parse_soft_v11.awk	stream de SOFT	TSV por GSM	awk	operativo	Sintaxis awk valida; reproduccion hash-identica en pruebas pequenas	No contempla todos los formatos exoticos	Conservar v11 como base canonica del piloto
U08	micro	metadatos sample	Inyectar metadatos de muestra como comentarios en TSV	logica interna v11	F:/Documentos/UNMSM/TESIS/scripts/parse_soft_v11.awk	bloque !Sample_*	Cabecera comentada en cada GSM.tsv	awk	operativo	GSM322973.tsv conserva metadatos detallados	Variacion de encabezados entre series	No eliminar metadatos: son parte de trazabilidad
U09	micro	clasificacion tabla	Determinar tipo de tabla por header/datos	logica CHECK_DATA	F:/Documentos/UNMSM/TESIS/scripts/parse_soft_v11.awk	header y primeras filas	decision TEXT_GENOTYPE/NUMERIC_DATA/UNKNOWN	awk	operativo con advertencias	`debug_log_v2.txt` registra FAIL puntuales	Valores `NULL` o formatos no previstos generan rechazo	Registrar GSE con FAIL para parser v12 o reglas extra
U10	macro	salida parseada	Persistir tablas por GSE y GSM	Directorio parseado	F:/Documentos/UNMSM/TESIS/results/parsed_tables/GSE12906	SOFT GSE12906	332 archivos GSM*.tsv	filesystem	operativo	Conteo 332 GSM para piloto	Directorio muy pesado (~5.3 GB)	No copiar; referenciar ruta absoluta
U11	micro	header plataforma	Conservar mapa de anotacion de SNP de plataforma	Header extraido	F:/Documentos/UNMSM/TESIS/results/parsed_tables/GSE12906/header_GSE12906.tsv	bloque !platform_table	tabla de mapeo ID_REF/CHR/BP/RS	awk/sed o parse_v12	operativo	Archivo presente (~719 MB)	Muy grande para duplicacion	Referenciar ruta; no mover
U12	macro	matriz genotipos	Construir matriz SNP x muestra a partir de TSV parseados	Rmd analisis	F:/Documentos/UNMSM/TESIS/HWE-LOH_assay/scripts/01_build_snp_matrix.Rmd	results/parsed_tables/GSE12906	HWE-LOH_assay/data/GSE12906_Genotype_Matrix.csv	R + data.table	operativo con limitaciones	CSV generado (~263.72 MB)	Rutas absolutas hardcodeadas	Parametrizar `input_dir/output_dir`
U13	macro	conteos AA/AB/BB	Calcular heterocigosidad observada/esperada por SNP	Salida de conteos	F:/Documentos/UNMSM/TESIS/HWE-LOH_assay/data/GSE12906_geno_counts_AA_AB_BB.csv	GSE12906_Genotype_Matrix.csv	tabla de conteos + p,q,H_exp,H_obs	R/data.table	operativo con revision	CSV presente (~15.97 MB)	Distribuciones sugieren revisar codificacion 0/1/2/3	Validar codificacion de `Call_test` antes de inferencia final
U14	macro	estadistica HWE-LOH	Aplicar contraste de deplecion de heterocigotos	Bloques estadisticos R	F:/Documentos/UNMSM/TESIS/HWE-LOH_assay/scripts/01_build_snp_matrix.Rmd	geno_counts + header	p_value, plots Manhattan	R	operativo parcial	Plots generados en `HWE-LOH_assay/plots`	No replica exact test/MLE del paper	Documentar brecha metodologica explicitamente
U15	soporte	registro ejecucion	Auditar corrida de parsing por lote	Log de depuracion	F:/Documentos/UNMSM/TESIS/scripts/debug_log_v2.txt	diagnose_v2.sh	lineas [FAIL]/[INFO]	bash/awk	operativo	38 GSE procesados; FAIL focalizados	Sin resumen estadistico automatico por GSE	Agregar parser de logs a reporte tabular
U16	soporte	registro cribado	Auditar decision de retencion/eliminacion SOFT	CSV de cribado	F:/Documentos/UNMSM/TESIS/results/cribado_reporte.csv	scout_master.sh	historial GSE, accion, timestamp	bash	operativo	775 lineas; acciones `KEPT_CONFIRMED/KEPT_MAYBE`	Descargas antiguas pueden no reflejar estado GEO actual	Versionar con fecha y query de origen
U17	consistencia	cobertura fuente->salida	Verificar que cada GSE fuente tenga carpeta parseada	Comparacion inventarios	F:/Documentos/UNMSM/TESIS/results	SOFT en hits/quarantine	carpetas parsed_tables	forense ligero	operativo	261 fuente vs 260 parseadas; falta GSE47077	Unico hueco reduce completitud global	Marcar GSE47077 como caso no recuperado
U18	consistencia	foco piloto	Asegurar continuidad completa en GSE12906	Cadena de evidencia GSE12906	F:/Documentos/UNMSM/TESIS/results/parsed_tables/GSE12906	SOFT + parser + header	TSV + header + matriz + conteos	end-to-end	operativo	Todos los artefactos piloto presentes	Volumen alto dificulta portabilidad	Usar aislamiento logico y manifiesto de rutas
U19	riesgo	nombres inconsistentes	Mapear referencias rotas por nombres historicos	Mapa compatibilidad	F:/Documentos/UNMSM/TESIS/scripts	*.sh y *.awk	matriz de alias	forense	operativo con mitigacion	Mismatches identificados en shell scripts	Ejecucion puede fallar en entorno limpio	Aplicar capa canonica en wrappers
U20	forense	producto final	Consolidar documentacion de aislamiento sin copiar grandes	Carpeta forense	F:/Documentos/UNMSM/TESIS/HWE-LOH_GSE12906_forense	inventario y evidencias	informes y tablas	manual	completado	Documentos creados con rutas absolutas	No contiene payload bruto por diseno	Usar carpeta como indice maestro de investigacion
